"","id","hand","year","month","day","hour","minute","seconds","blocking","block","trial","iti","rt","response_time","too_soon","too_late","xfix","yfix","xtarget","ytarget"
"145",3,2,2017,11,20,11,33,54.463,2,2,15,1.9293,0.48609,0.76941,0,0,1804,533,647,526
"146",3,2,2017,11,20,11,33,54.463,2,2,16,1.35,0.42582,0.7317,0,0,1803,525,652,497
"147",3,2,2017,11,20,11,33,54.463,2,2,17,1.1966,0.48804,0.84337,0,0,1813,532,637,537
"148",3,2,2017,11,20,11,33,54.463,2,2,18,1.2511,0.48694,0.7858,0,0,1814,532,679,539
"149",3,2,2017,11,20,11,33,54.463,2,2,19,1.616,0.42416,0.72202,0,0,1812,531,659,537
"150",3,2,2017,11,20,11,33,54.463,2,2,20,1.4733,0.39503,0.70049,0,0,1816,535,684,549
"151",3,2,2017,11,20,11,33,54.463,2,3,1,1.1067,0.40525,0.81174,0,0,1816,532,639,539
"152",3,2,2017,11,20,11,33,54.463,2,3,2,1.9619,0.39058,0.79573,0,0,1820,527,645,536
"153",3,2,2017,11,20,11,33,54.463,2,3,3,1.0046,0.3751,0.76626,0,0,1819,533,634,544
"154",3,2,2017,11,20,11,33,54.463,2,3,4,1.7749,0.35679,0.73496,0,0,1812,528,633,530
"155",3,2,2017,11,20,11,33,54.463,2,3,5,1.8173,0.37171,0.77915,0,0,1810,523,641,529
"156",3,2,2017,11,20,11,33,54.463,2,3,6,1.8687,0.49805,0.90338,0,0,1812,526,641,539
"157",3,2,2017,11,20,11,33,54.463,2,3,7,1.0844,0.43877,0.86054,0,0,1811,530,648,555
"158",3,2,2017,11,20,11,33,54.463,2,3,8,1.3998,0.35887,2.0942,0,0,1794,524,647,548
"159",3,2,2017,11,20,11,33,54.463,2,3,9,1.2599,0.3513,1.8192,0,0,1810,525,647,545
"160",3,2,2017,11,20,11,33,54.463,2,3,10,1.8001,0.35729,0.78464,0,0,1802,522,662,538
"161",3,2,2017,11,20,11,33,54.463,2,4,1,1.547,0.36116,2.1685,0,0,1819,529,636,539
"162",3,2,2017,11,20,11,33,54.463,2,4,2,1.2963,0.33003,0.82521,0,0,1812,527,660,533
"163",3,2,2017,11,20,11,33,54.463,2,4,3,1.7447,0.35289,0.84633,0,0,1820,522,656,543
"164",3,2,2017,11,20,11,33,54.463,2,4,4,1.189,0.45631,1.8364,0,0,1808,531,651,542
"165",3,2,2017,11,20,11,33,54.463,2,4,5,1.6868,0.31182,0.78414,0,0,1804,525,671,543
"166",3,2,2017,11,20,11,33,54.463,2,4,6,1.1835,0.42821,1.1623,0,0,1804,532,659,542
"167",3,2,2017,11,20,11,33,54.463,2,4,7,1.3685,0.50516,0.94126,0,0,1796,535,675,541
"168",3,2,2017,11,20,11,33,54.463,2,4,8,1.6256,0.34865,0.83498,0,0,1815,532,676,539
"169",3,2,2017,11,20,11,33,54.463,2,4,9,1.7802,0.37902,0.90832,0,0,1802,523,645,538
"170",3,2,2017,11,20,11,33,54.463,2,4,10,1.0811,0.46369,0.96406,0,0,1786,537,646,553
"171",3,2,2017,11,20,11,33,54.463,2,4,11,1.9294,0.38774,0.90954,0,0,1791,537,664,540
"172",3,2,2017,11,20,11,33,54.463,2,4,12,1.7757,0.38657,1.0919,0,0,1805,520,662,537
"173",3,2,2017,11,20,11,33,54.463,2,4,13,1.4868,0.34956,1.3875,0,0,1780,538,656,536
"174",3,2,2017,11,20,11,33,54.463,2,4,14,1.4359,0.44694,0.96269,0,0,1810,520,652,525
"175",3,2,2017,11,20,11,33,54.463,2,4,15,1.4468,0.40068,0.98341,0,0,1806,528,664,544
"176",3,2,2017,11,20,11,33,54.463,2,4,16,1.3063,0.55813,1.0584,0,0,1820,532,648,545
"177",3,2,2017,11,20,11,33,54.463,2,4,17,1.5085,0.44964,1.2769,0,0,1803,536,646,546
"178",3,2,2017,11,20,11,33,54.463,2,4,18,1.5108,0.46392,0.95009,0,0,1808,535,663,539
"179",3,2,2017,11,20,11,33,54.463,2,4,19,1.8176,0.40271,0.89631,0,0,1808,540,655,542
"180",3,2,2017,11,20,11,33,54.463,2,4,20,1.7948,0.37512,0.91248,0,0,1814,538,654,530
"181",4,2,2017,11,30,9,58,19.553,2,1,1,1.8147,0.56341,1.3124,0,0,1796,537,587,488
"182",4,2,2017,11,30,9,58,19.553,2,1,2,1.9058,0.87916,1.5034,0,0,1803,535,616,505
"183",4,2,2017,11,30,9,58,19.553,2,1,3,1.127,0.836,1.4391,0,0,1807,533,653,483
"184",4,2,2017,11,30,9,58,19.553,2,1,4,1.9134,0.45895,0.99637,0,0,1811,542,613,547
